City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,baharly,38.4362,57.4316,8.54,57,11,2.38,TM,1732978823
342,cartagena,10.3997,-75.5144,31.79,70,0,1.54,CO,1732978542
343,tshabong,-26.05,22.45,33.97,5,0,2.43,BW,1732978826
344,ceelbuur,4.685,46.6176,31.2,17,24,3.4,SO,1732978827
345,kununurra,-15.7667,128.7333,28.99,79,78,2.57,AU,1732978828
346,tura,25.5198,90.2201,17.01,64,72,1.47,IN,1732978829
347,thinadhoo,0.5333,72.9333,27.57,78,66,8.17,MV,1732978830
348,kruisfontein,-34.0033,24.7314,19.98,60,53,6.83,ZA,1732978831
349,pesqueira,-8.3578,-36.6964,31.48,24,47,4.48,BR,1732978834
350,conception bay south,47.4999,-52.9981,5.8,89,100,3.47,CA,1732978835
351,selfoss,63.9331,-20.9971,-4.25,67,98,6.11,IS,1732978836
352,borovichi,58.3878,33.9155,1.21,96,100,3.24,RU,1732978837
353,dien bien phu,21.3833,103.0167,16.06,87,100,1.01,VN,1732978838
354,mirny,62.5353,113.9611,-34.7,100,48,1.53,RU,1732978839
355,moratuwa,6.773,79.8816,26.14,86,100,3.5,LK,1732978840
356,eureka,40.8021,-124.1637,0.66,61,4,1.91,US,1732978842
357,cidade velha,14.9167,-23.6167,31.26,48,0,7.2,CV,1732978843
358,gargalianoi,37.0667,21.6333,12.72,89,98,5.53,GR,1732978844
359,urzhar,47.093,81.6294,-0.09,100,100,0.89,KZ,1732978845
